year,area,area_name,racecomp,xtype,hp
2024,23,Maine,Asian,Difference (% pts.),.001808377
2024,23,Maine,Other,Share of struggling households,.046261065
2024,23,Maine,Other,Share of all households,.045398738
2024,23,Maine,Other,Difference (% pts.),.00086232647
2024,24,Maryland,White,Share of struggling households,.42192432
2024,24,Maryland,White,Share of all households,.5092088
2024,24,Maryland,White,Difference (% pts.),-.087284476
2024,24,Maryland,Black,Share of struggling households,.34845111
2024,24,Maryland,Black,Share of all households,.29619744
2024,24,Maryland,Black,Difference (% pts.),.052253664
2024,24,Maryland,Hispanic,Share of struggling households,.12032788
2024,24,Maryland,Hispanic,Share of all households,.087182395
2024,24,Maryland,Hispanic,Difference (% pts.),.033145487
2024,24,Maryland,Asian,Share of struggling households,.05900823
2024,24,Maryland,Asian,Share of all households,.061055437
2024,24,Maryland,Asian,Difference (% pts.),-.0020472072
2024,24,Maryland,Other,Share of struggling households,.050288446
2024,24,Maryland,Other,Share of all households,.046355907
2024,24,Maryland,Other,Difference (% pts.),.0039325394
2024,25,Massachusetts,White,Share of struggling households,.64651614
2024,25,Massachusetts,White,Share of all households,.71659702
2024,25,Massachusetts,White,Difference (% pts.),-.070080876
2024,25,Massachusetts,Black,Share of struggling households,.075570777
2024,25,Massachusetts,Black,Share of all households,.056886811
2024,25,Massachusetts,Black,Difference (% pts.),.018683966
2024,25,Massachusetts,Hispanic,Share of struggling households,.15028654
2024,25,Massachusetts,Hispanic,Share of all households,.10797287
2024,25,Massachusetts,Hispanic,Difference (% pts.),.042313673
2024,25,Massachusetts,Asian,Share of struggling households,.06139363
2024,25,Massachusetts,Asian,Share of all households,.065725461
2024,25,Massachusetts,Asian,Difference (% pts.),-.0043318309
2024,25,Massachusetts,Other,Share of struggling households,.066232972
2024,25,Massachusetts,Other,Share of all households,.052817862
2024,25,Massachusetts,Other,Difference (% pts.),.013415109
2024,26,Michigan,White,Share of struggling households,.69709772
2024,26,Michigan,White,Share of all households,.75434619
2024,26,Michigan,White,Difference (% pts.),-.057248473
2024,26,Michigan,Black,Share of struggling households,.17432572
2024,26,Michigan,Black,Share of all households,.12681371
2024,26,Michigan,Black,Difference (% pts.),.04751201
2024,26,Michigan,Hispanic,Share of struggling households,.052093174
2024,26,Michigan,Hispanic,Share of all households,.043055236
2024,26,Michigan,Hispanic,Difference (% pts.),.009037938
2024,26,Michigan,Asian,Share of struggling households,.02495298
2024,26,Michigan,Asian,Share of all households,.030406075
2024,26,Michigan,Asian,Difference (% pts.),-.0054530948
2024,26,Michigan,Other,Share of struggling households,.051530417
2024,26,Michigan,Other,Share of all households,.045378793
2024,26,Michigan,Other,Difference (% pts.),.006151624
2024,27,Minnesota,White,Share of struggling households,.75744075
2024,27,Minnesota,White,Share of all households,.81366402
2024,27,Minnesota,White,Difference (% pts.),-.056223273
2024,27,Minnesota,Black,Share of struggling households,.097448997
2024,27,Minnesota,Black,Share of all households,.060779504
2024,27,Minnesota,Black,Difference (% pts.),.036669493
2024,27,Minnesota,Hispanic,Share of struggling households,.056303587
2024,27,Minnesota,Hispanic,Share of all households,.045481429
2024,27,Minnesota,Hispanic,Difference (% pts.),.010822158
2024,27,Minnesota,Asian,Share of struggling households,.046474416
2024,27,Minnesota,Asian,Share of all households,.039464887
2024,27,Minnesota,Asian,Difference (% pts.),.0070095286
2024,27,Minnesota,Other,Share of struggling households,.042332258
2024,27,Minnesota,Other,Share of all households,.040610157
2024,27,Minnesota,Other,Difference (% pts.),.0017221011
2024,28,Mississippi,White,Share of struggling households,.48321781
2024,28,Mississippi,White,Share of all households,.57339823
2024,28,Mississippi,White,Difference (% pts.),-.090180427
2024,28,Mississippi,Black,Share of struggling households,.44463006
2024,28,Mississippi,Black,Share of all households,.36015671
2024,28,Mississippi,Black,Difference (% pts.),.084473342
2024,28,Mississippi,Hispanic,Share of struggling households,.029865827
2024,28,Mississippi,Hispanic,Share of all households,.026030887
2024,28,Mississippi,Hispanic,Difference (% pts.),.0038349405
2024,28,Mississippi,Asian,Share of struggling households,.010436689
2024,28,Mississippi,Asian,Share of all households,.010431091
2024,28,Mississippi,Asian,Difference (% pts.),5.5981800e-06
2024,28,Mississippi,Other,Share of struggling households,.0318496
2024,28,Mississippi,Other,Share of all households,.02998304
2024,28,Mississippi,Other,Difference (% pts.),.0018665604
2024,29,Missouri,White,Share of struggling households,.73054349
2024,29,Missouri,White,Share of all households,.79145223
2024,29,Missouri,White,Difference (% pts.),-.060908735
2024,29,Missouri,Black,Share of struggling households,.14960095
2024,29,Missouri,Black,Share of all households,.1058742
2024,29,Missouri,Black,Difference (% pts.),.043726757
2024,29,Missouri,Hispanic,Share of struggling households,.051556617
2024,29,Missouri,Hispanic,Share of all households,.039321393
2024,29,Missouri,Hispanic,Difference (% pts.),.012235224
2024,29,Missouri,Asian,Share of struggling households,.018585928
2024,29,Missouri,Asian,Share of all households,.020241117
2024,29,Missouri,Asian,Difference (% pts.),-.0016551893
2024,29,Missouri,Other,Share of struggling households,.049713098
2024,29,Missouri,Other,Share of all households,.043111075
2024,29,Missouri,Other,Difference (% pts.),.0066020228
